Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
510.45,G04,X1.0000,,,,,,6.22,0.88,0,2997.88764,1.056179775,1.820224719,6.988764045,24.01123596,9.688,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
511.33,X12.8630,,,,,,,5.66,0.89,251.1777778,2994.777778,15,50.25555556,6.288888889,19.33333333,12.863,-31.588,3.175,0,3.175,-1.5,0,Conventional,3,4.4,1.5,10.09,15.135,Cut with Feed,3.175,Face Milling
512.22,G04,X1.0000,,,,,,2.12,0.9,0,2997.89011,3.351648352,4.934065934,2.32967033,28.02197802,12.863,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
513.12,Y31.5880,,,,,,,193.32,15.26,247.4525213,2997.423707,19.65815324,29.69941061,12.66011788,18.56188605,12.863,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,186.77,280.155,Cut with Feed,63.176,Face Milling
528.38,G04,X1.0000,,,,,,7.37,0.9,0,2998,1.076923077,6.274725275,8.098901099,27.28571429,12.863,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
529.28,X16.0380,,,,,,,7.91,0.87,251.1136364,2998,15.22727273,28.40909091,8.988636364,22.98863636,16.038,31.588,3.175,0,3.175,-1.5,0,Climb,3.1,4.5,1.5,10.42,15.63,Cut with Feed,3.175,Face Milling
530.15,G04,X1.0000,,,,,,7.88,0.89,0,2997.888889,3.755555556,5.1,8.755555556,21.67777778,16.038,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
531.04,Y-31.5880,,,,,,,252.47,12.53,297.7033493,2997.76874,21.25279107,18.94098884,20.13317384,22.07017544,16.038,-31.588,0,-63.176,63.176,-1.5,0,Conventional,6.4,63.2,1.5,192.79,289.185,Cut with Feed,63.176,Face Milling
543.57,G04,X1.0000,,,,,,9.39,1.21,0,2998,1.344262295,1.991803279,7.696721311,22.68032787,16.038,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
544.78,X19.2130,,,,,,,5.98,0.59,299.9166667,2998,18.88333333,29.56666667,9.966666667,18.65,19.213,-31.588,3.175,0,3.175,-1.5,0,Conventional,3.1,4.4,1.5,10.33,15.495,Cut with Feed,3.175,Face Milling
